System_ID 	MATCH 	MACRO F-1 	MACRO PRECISION 	MACRO RECALL
id7	Exact	0.8770	0.8751	0.8800
id7	Ent_Type	0.8875	0.8851	0.8913
id7	Partial	0.8830	0.8808	0.8864
id7	Strict	0.8766	0.8747	0.8796
id19	Exact	0.6935	0.6933	0.6939
id19	Ent_Type	0.7180	0.7178	0.7184
id19	Partial	0.7067	0.7065	0.7071
id19	Strict	0.6927	0.6925	0.6931
id29	Exact	0.5482	0.5406	0.5603
id29	Ent_Type	0.6179	0.5993	0.6481
id29	Partial	0.5853	0.5720	0.6066
id29	Strict	0.5455	0.5379	0.5576
withdraw	Exact	0.5458	0.5365	0.5596
withdraw	Ent_Type	0.5881	0.5741	0.6085
withdraw	Partial	0.5699	0.5580	0.5874
withdraw	Strict	0.5439	0.5347	0.5576